anomaly_id,transaction_id,user_id,timestamp,anomaly_type,metric_name,observed_value,baseline_value,deviation_score,detector_method,explanation
ANO_96064669FB,TX_CF163AF11DD5,USR_04991,2026-08-02 04:38:19+05:30,ABNORMAL_FEE,fee_inr,236.91,161.96,1.46,IQR_UPPER_FENCE,Platform fee ₹236.91 breaches the asset's IQR upper fence of ₹161.96.
ANO_FCD583E4E0,TX_ANO_VEL_84D7EF8D,USR_02886,2026-08-02 04:54:50+05:30,VELOCITY_BURST,tx_velocity_60m,9.0,5.0,1.8,TIME_WINDOW_COUNTER,"User executed 9 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_2E6A32B1B0,TX_A43B2D0BEC67,USR_07841,2026-08-02 08:42:40+05:30,ABNORMAL_FEE,fee_inr,420.18,166.3088,2.53,IQR_UPPER_FENCE,Platform fee ₹420.18 breaches the asset's IQR upper fence of ₹166.31.
ANO_0C2F76A795,TX_F5D93E2C228A,USR_06505,2026-08-02 12:57:21+05:30,ABNORMAL_FEE,fee_inr,703.68,169.26,4.16,IQR_UPPER_FENCE,Platform fee ₹703.68 breaches the asset's IQR upper fence of ₹169.26.
ANO_A1B74F05F2,TX_71A7B233898F,USR_02742,2026-08-02 13:52:01+05:30,ABNORMAL_FEE,fee_inr,466.8,166.3088,2.81,IQR_UPPER_FENCE,Platform fee ₹466.80 breaches the asset's IQR upper fence of ₹166.31.
ANO_1AEB225299,TX_16519DA95709,USR_07201,2026-08-02 16:02:03+05:30,ABNORMAL_FEE,fee_inr,359.15,167.3525,2.15,IQR_UPPER_FENCE,Platform fee ₹359.15 breaches the asset's IQR upper fence of ₹167.35.
ANO_6501AF3329,TX_189B4D954750,USR_02407,2026-08-02 19:54:04+05:30,ABNORMAL_FEE,fee_inr,493.2,169.26,2.91,IQR_UPPER_FENCE,Platform fee ₹493.20 breaches the asset's IQR upper fence of ₹169.26.
ANO_8225F1F727,TX_ANO_VEL_609BDB29,USR_03193,2026-08-02 22:11:35+05:30,VELOCITY_BURST,tx_velocity_60m,6.0,5.0,1.2,TIME_WINDOW_COUNTER,"User executed 6 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_335620D232,TX_ANO_VEL_069BE255,USR_03193,2026-08-02 22:21:35+05:30,VELOCITY_BURST,tx_velocity_60m,11.0,5.0,2.2,TIME_WINDOW_COUNTER,"User executed 11 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_346CE0E645,TX_880D601D902B,USR_06370,2026-08-03 00:32:29+05:30,ABNORMAL_FEE,fee_inr,433.23,169.26,2.56,IQR_UPPER_FENCE,Platform fee ₹433.23 breaches the asset's IQR upper fence of ₹169.26.
ANO_6C3B7EBC74,TX_1DE24D9FE018,USR_01860,2026-08-03 02:03:28+05:30,BASELINE_SPIKE,user_baseline_zscore,766711.68,148590.28,4.12,ROLLING_ZSCORE,"Transaction value ₹766,711.68 is 4.1σ above user's rolling historical baseline of ₹148,590.28."
ANO_A453D3824A,TX_52B13CB2A0FB,USR_03741,2026-08-03 12:45:53+05:30,ABNORMAL_FEE,fee_inr,512.17,169.26,3.03,IQR_UPPER_FENCE,Platform fee ₹512.17 breaches the asset's IQR upper fence of ₹169.26.
ANO_67727B9711,TX_ANO_VEL_36E9839B,USR_01259,2026-08-03 15:29:17+05:30,VELOCITY_BURST,tx_velocity_60m,11.0,5.0,2.2,TIME_WINDOW_COUNTER,"User executed 11 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_D3ED4F2F25,TX_3844C1E9DDF3,USR_03058,2026-08-04 00:14:24+05:30,ABNORMAL_FEE,fee_inr,568.9,161.96,3.51,IQR_UPPER_FENCE,Platform fee ₹568.90 breaches the asset's IQR upper fence of ₹161.96.
ANO_DAEF771166,TX_F816E9EBDC9D,USR_03209,2026-08-04 01:56:32+05:30,ABNORMAL_FEE,fee_inr,366.2,166.3088,2.2,IQR_UPPER_FENCE,Platform fee ₹366.20 breaches the asset's IQR upper fence of ₹166.31.
ANO_D0A4357B7C,TX_ANO_VEL_14939517,USR_02599,2026-08-04 01:56:46+05:30,VELOCITY_BURST,tx_velocity_60m,5.0,5.0,1.0,TIME_WINDOW_COUNTER,"User executed 5 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_FCDD57C240,TX_ANO_VEL_8D58ECC2,USR_02599,2026-08-04 02:06:46+05:30,VELOCITY_BURST,tx_velocity_60m,10.0,5.0,2.0,TIME_WINDOW_COUNTER,"User executed 10 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_02F2FE03D1,TX_76199AD8EB2E,USR_00283,2026-08-04 02:56:53+05:30,ABNORMAL_FEE,fee_inr,272.51,169.26,1.61,IQR_UPPER_FENCE,Platform fee ₹272.51 breaches the asset's IQR upper fence of ₹169.26.
ANO_BC276E41C4,TX_42C0A2F47226,USR_02763,2026-08-04 03:38:37+05:30,ABNORMAL_FEE,fee_inr,290.58,161.96,1.79,IQR_UPPER_FENCE,Platform fee ₹290.58 breaches the asset's IQR upper fence of ₹161.96.
ANO_4C68EB94E0,TX_847B854292CA,USR_00280,2026-08-04 04:30:24+05:30,ABNORMAL_FEE,fee_inr,543.86,161.96,3.36,IQR_UPPER_FENCE,Platform fee ₹543.86 breaches the asset's IQR upper fence of ₹161.96.
ANO_EBD47918BF,TX_0E8D0863F5D5,USR_01470,2026-08-04 06:33:48+05:30,ABNORMAL_FEE,fee_inr,403.15,166.3088,2.42,IQR_UPPER_FENCE,Platform fee ₹403.15 breaches the asset's IQR upper fence of ₹166.31.
ANO_CD226CD5EC,TX_27B95F39E98C,USR_00670,2026-08-04 06:42:34+05:30,ABNORMAL_FEE,fee_inr,526.31,161.96,3.25,IQR_UPPER_FENCE,Platform fee ₹526.31 breaches the asset's IQR upper fence of ₹161.96.
ANO_2543972943,TX_AF478B254A6D,USR_02484,2026-08-04 13:39:50+05:30,ABNORMAL_FEE,fee_inr,599.24,169.26,3.54,IQR_UPPER_FENCE,Platform fee ₹599.24 breaches the asset's IQR upper fence of ₹169.26.
ANO_CF4AB22786,TX_38710E9B015C,USR_05352,2026-08-04 14:28:08+05:30,ABNORMAL_FEE,fee_inr,312.56,166.3088,1.88,IQR_UPPER_FENCE,Platform fee ₹312.56 breaches the asset's IQR upper fence of ₹166.31.
ANO_006B61864F,TX_67BD7040FA98,USR_01968,2026-08-04 15:02:16+05:30,ABNORMAL_FEE,fee_inr,354.71,166.3088,2.13,IQR_UPPER_FENCE,Platform fee ₹354.71 breaches the asset's IQR upper fence of ₹166.31.
ANO_390F86DEA2,TX_166BF08E6DF9,USR_00219,2026-08-04 16:58:12+05:30,ABNORMAL_FEE,fee_inr,389.81,167.3525,2.33,IQR_UPPER_FENCE,Platform fee ₹389.81 breaches the asset's IQR upper fence of ₹167.35.
ANO_AF2B910395,TX_A977AA0A9A3D,USR_03039,2026-08-05 01:50:59+05:30,ABNORMAL_FEE,fee_inr,502.72,161.96,3.1,IQR_UPPER_FENCE,Platform fee ₹502.72 breaches the asset's IQR upper fence of ₹161.96.
ANO_822396DBF9,TX_ANO_FAL_E912B864,USR_04596,2026-08-05 06:20:00+05:30,REPEATED_FAILURES,consecutive_failures,4.0,3.0,1.33,FAILURE_STATE_MACHINE,"User encountered 4 consecutive failed transactions within 30m, indicating potential brute force credential guessing or payment gateway fault."
ANO_14B8962074,TX_E7C30CD54614,USR_02206,2026-08-05 07:06:40+05:30,ABNORMAL_FEE,fee_inr,721.25,166.3088,4.34,IQR_UPPER_FENCE,Platform fee ₹721.25 breaches the asset's IQR upper fence of ₹166.31.
ANO_AA31F71CF4,TX_ANO_FEE_B025977B,USR_03680,2026-08-05 09:11:11+05:30,ABNORMAL_FEE,fee_inr,23304.77,169.26,137.69,IQR_UPPER_FENCE,"Platform fee ₹23,304.77 breaches the asset's IQR upper fence of ₹169.26."
ANO_DD8F9EA3F3,TX_92151FC6B449,USR_02348,2026-08-05 12:39:41+05:30,ABNORMAL_FEE,fee_inr,388.49,165.72,2.34,IQR_UPPER_FENCE,Platform fee ₹388.49 breaches the asset's IQR upper fence of ₹165.72.
ANO_C2D42C199A,TX_3223FC059D16,USR_02659,2026-08-05 21:20:28+05:30,BASELINE_SPIKE,user_baseline_zscore,99261.93,39437.415,3.99,ROLLING_ZSCORE,"Transaction value ₹99,261.93 is 4.0σ above user's rolling historical baseline of ₹39,437.42."
ANO_DE87679A6E,TX_ANO_VEL_98F48F7B,USR_08234,2026-08-05 23:27:07+05:30,VELOCITY_BURST,tx_velocity_60m,5.0,5.0,1.0,TIME_WINDOW_COUNTER,"User executed 5 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_46EAD7E18C,TX_F70DAE3C3B65,USR_08099,2026-08-06 05:02:21+05:30,ABNORMAL_FEE,fee_inr,568.9,161.96,3.51,IQR_UPPER_FENCE,Platform fee ₹568.90 breaches the asset's IQR upper fence of ₹161.96.
ANO_B2F5C0A41B,TX_776890BD5379,USR_07739,2026-08-06 05:04:21+05:30,ABNORMAL_FEE,fee_inr,294.5,166.3088,1.77,IQR_UPPER_FENCE,Platform fee ₹294.50 breaches the asset's IQR upper fence of ₹166.31.
ANO_27204798FD,TX_E00D65B9053A,USR_02406,2026-08-06 05:51:47+05:30,ABNORMAL_FEE,fee_inr,319.69,169.26,1.89,IQR_UPPER_FENCE,Platform fee ₹319.69 breaches the asset's IQR upper fence of ₹169.26.
ANO_5A363253D6,TX_11F4536D44B0,USR_04964,2026-08-06 07:07:18+05:30,BASELINE_SPIKE,user_baseline_zscore,9715.04,250.0,3.79,ROLLING_ZSCORE,"Transaction value ₹9,715.04 is 3.8σ above user's rolling historical baseline of ₹250.00."
ANO_7C1FA09EBB,TX_F489C0AEB952,USR_06492,2026-08-06 09:07:58+05:30,ABNORMAL_FEE,fee_inr,457.16,169.26,2.7,IQR_UPPER_FENCE,Platform fee ₹457.16 breaches the asset's IQR upper fence of ₹169.26.
ANO_1813347104,TX_41968E2CFD78,USR_06107,2026-08-06 10:48:01+05:30,ABNORMAL_FEE,fee_inr,441.7,169.26,2.61,IQR_UPPER_FENCE,Platform fee ₹441.70 breaches the asset's IQR upper fence of ₹169.26.
ANO_6ED582376B,TX_97496C90126B,USR_01744,2026-08-06 16:06:40+05:30,BASELINE_SPIKE,user_baseline_zscore,92366.57,41718.73,3.38,ROLLING_ZSCORE,"Transaction value ₹92,366.57 is 3.4σ above user's rolling historical baseline of ₹41,718.73."
ANO_9653ED3EB8,TX_A00F66E3DDC6,USR_06458,2026-08-06 16:13:44+05:30,ABNORMAL_FEE,fee_inr,468.46,165.72,2.83,IQR_UPPER_FENCE,Platform fee ₹468.46 breaches the asset's IQR upper fence of ₹165.72.
ANO_B5D51EF213,TX_DF237F5B9CA1,USR_04594,2026-08-06 18:11:39+05:30,ABNORMAL_FEE,fee_inr,471.3,166.3088,2.83,IQR_UPPER_FENCE,Platform fee ₹471.30 breaches the asset's IQR upper fence of ₹166.31.
ANO_147B6CB217,TX_0069865CC4B3,USR_08929,2026-08-06 19:46:56+05:30,ABNORMAL_FEE,fee_inr,374.08,169.26,2.21,IQR_UPPER_FENCE,Platform fee ₹374.08 breaches the asset's IQR upper fence of ₹169.26.
ANO_B5BE8BD945,TX_ANO_FEE_E0455D6B,USR_02055,2026-08-07 02:10:24+05:30,BASELINE_SPIKE,user_baseline_zscore,78573.37,4500.0,29.63,ROLLING_ZSCORE,"Transaction value ₹78,573.37 is 29.6σ above user's rolling historical baseline of ₹4,500.00."
ANO_73AFB47639,TX_3E3CC4A76F3B,USR_05288,2026-08-07 02:19:01+05:30,ABNORMAL_FEE,fee_inr,557.69,165.72,3.37,IQR_UPPER_FENCE,Platform fee ₹557.69 breaches the asset's IQR upper fence of ₹165.72.
ANO_0C9364B101,TX_47D0E21C76B1,USR_03458,2026-08-07 04:57:12+05:30,ABNORMAL_FEE,fee_inr,474.64,165.72,2.86,IQR_UPPER_FENCE,Platform fee ₹474.64 breaches the asset's IQR upper fence of ₹165.72.
ANO_0DD21F234A,TX_C7F9500FF7EA,USR_01934,2026-08-07 10:45:05+05:30,ABNORMAL_FEE,fee_inr,411.77,169.26,2.43,IQR_UPPER_FENCE,Platform fee ₹411.77 breaches the asset's IQR upper fence of ₹169.26.
ANO_72CECD2FB1,TX_697B0874D1D9,USR_04443,2026-08-07 13:10:48+05:30,ABNORMAL_FEE,fee_inr,388.98,161.96,2.4,IQR_UPPER_FENCE,Platform fee ₹388.98 breaches the asset's IQR upper fence of ₹161.96.
ANO_EDF86325A0,TX_BE376B30DAAE,USR_03864,2026-08-07 19:56:44+05:30,ABNORMAL_FEE,fee_inr,668.42,161.96,4.13,IQR_UPPER_FENCE,Platform fee ₹668.42 breaches the asset's IQR upper fence of ₹161.96.
ANO_06FD3BE74A,TX_ANO_VEL_A02B88D2,USR_01933,2026-08-07 21:57:46+05:30,VELOCITY_BURST,tx_velocity_60m,6.0,5.0,1.2,TIME_WINDOW_COUNTER,"User executed 6 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_FF340F2773,TX_E68169A51356,USR_05385,2026-08-08 00:47:45+05:30,ABNORMAL_FEE,fee_inr,432.63,161.96,2.67,IQR_UPPER_FENCE,Platform fee ₹432.63 breaches the asset's IQR upper fence of ₹161.96.
ANO_4B2F292BC7,TX_8E629672B336,USR_07739,2026-08-08 09:21:40+05:30,ABNORMAL_FEE,fee_inr,475.26,166.3088,2.86,IQR_UPPER_FENCE,Platform fee ₹475.26 breaches the asset's IQR upper fence of ₹166.31.
ANO_8DE5CE1FAC,TX_9F3E5C5FC08A,USR_07481,2026-08-08 10:43:09+05:30,ABNORMAL_FEE,fee_inr,204.94,161.96,1.27,IQR_UPPER_FENCE,Platform fee ₹204.94 breaches the asset's IQR upper fence of ₹161.96.
ANO_E49D46F1E8,TX_E5192A5DF0ED,USR_08383,2026-08-08 13:24:01+05:30,ABNORMAL_FEE,fee_inr,524.78,166.3088,3.16,IQR_UPPER_FENCE,Platform fee ₹524.78 breaches the asset's IQR upper fence of ₹166.31.
ANO_2FB91B5520,TX_462B201EA392,USR_07784,2026-08-08 14:30:27+05:30,ABNORMAL_FEE,fee_inr,585.84,166.3088,3.52,IQR_UPPER_FENCE,Platform fee ₹585.84 breaches the asset's IQR upper fence of ₹166.31.
ANO_4D69F5BBC5,TX_ANO_VEL_27D65AC6,USR_04593,2026-08-09 02:31:16+05:30,VELOCITY_BURST,tx_velocity_60m,5.0,5.0,1.0,TIME_WINDOW_COUNTER,"User executed 5 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_0A0E1ECB0A,TX_4BA4E134BE31,USR_06035,2026-08-09 03:50:40+05:30,ABNORMAL_FEE,fee_inr,439.88,166.3088,2.64,IQR_UPPER_FENCE,Platform fee ₹439.88 breaches the asset's IQR upper fence of ₹166.31.
ANO_B65FD8CC36,TX_D159E34C8E63,USR_07522,2026-08-09 04:01:05+05:30,ABNORMAL_FEE,fee_inr,290.88,169.26,1.72,IQR_UPPER_FENCE,Platform fee ₹290.88 breaches the asset's IQR upper fence of ₹169.26.
ANO_14A77D08CC,TX_DF0B7721CA3B,USR_06765,2026-08-09 05:04:59+05:30,ABNORMAL_FEE,fee_inr,316.89,161.96,1.96,IQR_UPPER_FENCE,Platform fee ₹316.89 breaches the asset's IQR upper fence of ₹161.96.
ANO_3075DED627,TX_CF7358F1E7F4,USR_00437,2026-08-09 06:02:43+05:30,ABNORMAL_FEE,fee_inr,367.76,161.96,2.27,IQR_UPPER_FENCE,Platform fee ₹367.76 breaches the asset's IQR upper fence of ₹161.96.
ANO_1D27E378AD,TX_D9F1614F02F4,USR_08096,2026-08-09 06:27:30+05:30,ABNORMAL_FEE,fee_inr,432.72,165.72,2.61,IQR_UPPER_FENCE,Platform fee ₹432.72 breaches the asset's IQR upper fence of ₹165.72.
ANO_9CC43E8073,TX_0200D0671284,USR_08302,2026-08-09 08:25:44+05:30,ABNORMAL_FEE,fee_inr,311.03,161.96,1.92,IQR_UPPER_FENCE,Platform fee ₹311.03 breaches the asset's IQR upper fence of ₹161.96.
ANO_DC1D030FEB,TX_A5E8A9ADE4AD,USR_09801,2026-08-09 08:47:43+05:30,ABNORMAL_FEE,fee_inr,295.09,161.96,1.82,IQR_UPPER_FENCE,Platform fee ₹295.09 breaches the asset's IQR upper fence of ₹161.96.
ANO_B551407DC8,TX_70D19FA7E61C,USR_08909,2026-08-09 09:14:25+05:30,BASELINE_SPIKE,user_baseline_zscore,92276.38,45565.1456,3.11,ROLLING_ZSCORE,"Transaction value ₹92,276.38 is 3.1σ above user's rolling historical baseline of ₹45,565.15."
ANO_EB168DA5B5,TX_ANO_VEL_2EC76A1F,USR_02695,2026-08-09 12:04:55+05:30,VELOCITY_BURST,tx_velocity_60m,7.0,5.0,1.4,TIME_WINDOW_COUNTER,"User executed 7 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_DB532E782C,TX_ANO_VEL_463724EF,USR_02695,2026-08-09 12:06:55+05:30,VELOCITY_BURST,tx_velocity_60m,8.0,5.0,1.6,TIME_WINDOW_COUNTER,"User executed 8 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_BF2863ED4F,TX_ANO_VEL_67F1A89B,USR_02695,2026-08-09 12:10:55+05:30,VELOCITY_BURST,tx_velocity_60m,10.0,5.0,2.0,TIME_WINDOW_COUNTER,"User executed 10 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_1984C56979,TX_1BD95AB80736,USR_04727,2026-08-09 12:49:27+05:30,ABNORMAL_FEE,fee_inr,430.11,165.72,2.6,IQR_UPPER_FENCE,Platform fee ₹430.11 breaches the asset's IQR upper fence of ₹165.72.
ANO_ED179732D8,TX_165C50508D2B,USR_00271,2026-08-09 18:11:48+05:30,ABNORMAL_FEE,fee_inr,461.54,166.3088,2.78,IQR_UPPER_FENCE,Platform fee ₹461.54 breaches the asset's IQR upper fence of ₹166.31.
ANO_694C1F445C,TX_BCD9E334D21A,USR_07172,2026-08-09 19:01:21+05:30,ABNORMAL_FEE,fee_inr,415.45,166.3088,2.5,IQR_UPPER_FENCE,Platform fee ₹415.45 breaches the asset's IQR upper fence of ₹166.31.
ANO_FA0B0341E9,TX_0F875EB6AC41,USR_03240,2026-08-09 19:45:37+05:30,ABNORMAL_FEE,fee_inr,384.04,161.96,2.37,IQR_UPPER_FENCE,Platform fee ₹384.04 breaches the asset's IQR upper fence of ₹161.96.
ANO_F2404A67BF,TX_532F0BFF1275,USR_08333,2026-08-10 01:10:21+05:30,ABNORMAL_FEE,fee_inr,418.85,165.72,2.53,IQR_UPPER_FENCE,Platform fee ₹418.85 breaches the asset's IQR upper fence of ₹165.72.
ANO_4EAED06860,TX_ANO_VEL_53238C84,USR_07683,2026-08-10 01:44:09+05:30,VELOCITY_BURST,tx_velocity_60m,6.0,5.0,1.2,TIME_WINDOW_COUNTER,"User executed 6 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_50826F0233,TX_00EFFCCEBC73,USR_01132,2026-08-10 05:30:31+05:30,ABNORMAL_FEE,fee_inr,501.68,169.26,2.96,IQR_UPPER_FENCE,Platform fee ₹501.68 breaches the asset's IQR upper fence of ₹169.26.
ANO_05C8AB0985,TX_6CA269ECD48E,USR_05040,2026-08-10 05:36:57+05:30,ABNORMAL_FEE,fee_inr,658.17,169.26,3.89,IQR_UPPER_FENCE,Platform fee ₹658.17 breaches the asset's IQR upper fence of ₹169.26.
ANO_6089D7D0E4,TX_1D8CA9411699,USR_03836,2026-08-10 05:55:56+05:30,ABNORMAL_FEE,fee_inr,257.66,165.72,1.55,IQR_UPPER_FENCE,Platform fee ₹257.66 breaches the asset's IQR upper fence of ₹165.72.
ANO_950004554A,TX_B4991AAF9062,USR_01755,2026-08-10 07:09:47+05:30,ABNORMAL_FEE,fee_inr,184.12,166.3088,1.11,IQR_UPPER_FENCE,Platform fee ₹184.12 breaches the asset's IQR upper fence of ₹166.31.
ANO_EBA9D1B0AB,TX_0B4C217D2A5C,USR_06107,2026-08-10 07:38:19+05:30,ABNORMAL_FEE,fee_inr,325.16,161.96,2.01,IQR_UPPER_FENCE,Platform fee ₹325.16 breaches the asset's IQR upper fence of ₹161.96.
ANO_02256535C3,TX_85CE95CBF420,USR_05513,2026-08-10 08:55:55+05:30,ABNORMAL_FEE,fee_inr,172.7,166.3088,1.04,IQR_UPPER_FENCE,Platform fee ₹172.70 breaches the asset's IQR upper fence of ₹166.31.
ANO_061821718C,TX_F3DAA490A47D,USR_03714,2026-08-10 08:56:28+05:30,ABNORMAL_FEE,fee_inr,381.23,169.26,2.25,IQR_UPPER_FENCE,Platform fee ₹381.23 breaches the asset's IQR upper fence of ₹169.26.
ANO_9A7A8A76E2,TX_3FFB3F2B3121,USR_00170,2026-08-10 09:06:34+05:30,ABNORMAL_FEE,fee_inr,293.26,166.3088,1.76,IQR_UPPER_FENCE,Platform fee ₹293.26 breaches the asset's IQR upper fence of ₹166.31.
ANO_E1CF188640,TX_ANO_VEL_46ED720F,USR_00413,2026-08-10 11:40:52+05:30,VELOCITY_BURST,tx_velocity_60m,7.0,5.0,1.4,TIME_WINDOW_COUNTER,"User executed 7 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_FA5501C5CA,TX_ANO_VEL_DF4F263E,USR_00413,2026-08-10 11:42:52+05:30,VELOCITY_BURST,tx_velocity_60m,8.0,5.0,1.6,TIME_WINDOW_COUNTER,"User executed 8 transactions within a 60-minute window, breaching velocity threshold of 5."
ANO_CE4547156B,TX_63F645C57CF3,USR_06019,2026-08-10 14:50:07+05:30,ABNORMAL_FEE,fee_inr,434.93,161.96,2.69,IQR_UPPER_FENCE,Platform fee ₹434.93 breaches the asset's IQR upper fence of ₹161.96.
ANO_4175C9D2A6,TX_33C93E5BFDE8,USR_09005,2026-08-10 15:56:35+05:30,ABNORMAL_FEE,fee_inr,437.88,166.3088,2.63,IQR_UPPER_FENCE,Platform fee ₹437.88 breaches the asset's IQR upper fence of ₹166.31.
ANO_CADB3AA191,TX_0A41613CC242,USR_06285,2026-08-10 18:46:59+05:30,ABNORMAL_FEE,fee_inr,555.84,165.72,3.35,IQR_UPPER_FENCE,Platform fee ₹555.84 breaches the asset's IQR upper fence of ₹165.72.
ANO_953502860F,TX_8C9952E57BC0,USR_07370,2026-08-10 20:03:20+05:30,ABNORMAL_FEE,fee_inr,577.84,167.3525,3.45,IQR_UPPER_FENCE,Platform fee ₹577.84 breaches the asset's IQR upper fence of ₹167.35.
ANO_815B9AFBBC,TX_D31877FCFBB5,USR_07472,2026-08-10 20:35:56+05:30,ABNORMAL_FEE,fee_inr,435.59,166.3088,2.62,IQR_UPPER_FENCE,Platform fee ₹435.59 breaches the asset's IQR upper fence of ₹166.31.
ANO_6F6C40BD3D,TX_9BDC005BC5B9,USR_04345,2026-08-10 21:11:19+05:30,ABNORMAL_FEE,fee_inr,527.73,161.96,3.26,IQR_UPPER_FENCE,Platform fee ₹527.73 breaches the asset's IQR upper fence of ₹161.96.
ANO_43B6926210,TX_ANO_SPK_61243D67,USR_00436,2026-08-10 22:01:13+05:30,BASELINE_SPIKE,user_baseline_zscore,37449.61,5166.4367,12.91,ROLLING_ZSCORE,"Transaction value ₹37,449.61 is 12.9σ above user's rolling historical baseline of ₹5,166.44."
ANO_4EDCB733EC,TX_4EF234068E65,USR_09529,2026-08-11 02:09:34+05:30,BASELINE_SPIKE,user_baseline_zscore,83406.84,36762.6933,3.11,ROLLING_ZSCORE,"Transaction value ₹83,406.84 is 3.1σ above user's rolling historical baseline of ₹36,762.69."
ANO_0DC701FC04,TX_12F2595642A1,USR_08383,2026-08-11 03:24:42+05:30,ABNORMAL_FEE,fee_inr,573.09,164.06,3.49,IQR_UPPER_FENCE,Platform fee ₹573.09 breaches the asset's IQR upper fence of ₹164.06.
ANO_3B941B9773,TX_DC0D85FC1EDB,USR_04610,2026-08-11 07:36:25+05:30,ABNORMAL_FEE,fee_inr,309.09,166.3088,1.86,IQR_UPPER_FENCE,Platform fee ₹309.09 breaches the asset's IQR upper fence of ₹166.31.
ANO_A238BD4B4A,TX_963A728679BB,USR_07517,2026-08-11 08:56:38+05:30,ABNORMAL_FEE,fee_inr,357.68,165.72,2.16,IQR_UPPER_FENCE,Platform fee ₹357.68 breaches the asset's IQR upper fence of ₹165.72.
ANO_D82A24058D,TX_5824FD871B49,USR_07613,2026-08-11 14:18:30+05:30,ABNORMAL_FEE,fee_inr,400.35,166.3088,2.41,IQR_UPPER_FENCE,Platform fee ₹400.35 breaches the asset's IQR upper fence of ₹166.31.
ANO_6896BAB68C,TX_8CCC9622B4A5,USR_04829,2026-08-11 18:43:13+05:30,ABNORMAL_FEE,fee_inr,372.14,169.26,2.2,IQR_UPPER_FENCE,Platform fee ₹372.14 breaches the asset's IQR upper fence of ₹169.26.
ANO_45EEDD16E2,TX_507F26C95BED,USR_08982,2026-08-11 20:08:55+05:30,ABNORMAL_FEE,fee_inr,355.77,169.26,2.1,IQR_UPPER_FENCE,Platform fee ₹355.77 breaches the asset's IQR upper fence of ₹169.26.
