market_symbol,asset_id,date_key,timestamp,price,high,low,volume_24h,change_24h_pct,bid,ask
SAPIENINR,SAPIEN,20260920,2026-09-20 17:21:08+05:30,7.595,7.695,7.327,6907.0831,0.6894,7.29,7.585
SUNINR,SUN,20260920,2026-09-20 17:21:08+05:30,1.6573,1.698,1.6399,14257.3882,-2.3969,1.6584,1.698
TAOINR,TAO,20260920,2026-09-20 17:21:08+05:30,24938.9,26948.2,24700.2,4241057.4914,-6.9985,24817.7,25016.7
UNIINR,UNI,20260920,2026-09-20 17:21:08+05:30,861.11,912.78,843.0,1543504.6181,-4.7771,862.95,874.88
USUALINR,USUAL,20260920,2026-09-20 17:21:08+05:30,1.2895,1.3387,1.2425,80638.1698,1.2484,1.2419,1.2787
BTCUSDT,BTC,20260920,2026-09-20 17:21:08+05:30,80487.81,81951.0,80126.04,985037913.0448,-0.999,80487.8,80487.81
AAVEINR,AAVE,20260920,2026-09-20 17:21:08+05:30,13519.6,14308.3,13344.6,1282732.5187,-3.9972,13347.3,13552.6
BCHINR,BCH,20260920,2026-09-20 17:21:08+05:30,24617.1,25657.4,24078.6,500374.34,-1.324,24209.0,24665.9
BEAMXINR,BEAMX,20260920,2026-09-20 17:21:08+05:30,0.1789,0.1859,0.1751,28834.1318,-3.0558,0.1743,0.179
CFGINR,CFG,20260920,2026-09-20 17:21:08+05:30,12.455,12.839,12.0,105102.4317,1.1615,12.456,12.848
CHRINR,CHR,20260920,2026-09-20 17:21:08+05:30,1.6846,1.7406,1.65,14740.9713,0.7054,1.6241,1.6777
COREINR,CORE,20260920,2026-09-20 17:21:08+05:30,2.0179,2.2042,2.0046,633510.3359,-4.816,2.0177,2.0789
ENSINR,ENS,20260920,2026-09-20 17:21:08+05:30,597.0,677.6,597.0,634557.2058,-4.0193,599.9,615.0
FORMINR,FORM,20260920,2026-09-20 17:21:08+05:30,24.72,26.5,24.72,245533.4864,-5.3236,24.85,25.36
GMTINR,GMT,20260920,2026-09-20 17:21:08+05:30,0.7607,0.7908,0.7357,78666.0208,0.3959,0.7354,0.7607
HOTINR,HOT,20260920,2026-09-20 17:21:08+05:30,0.0393,0.041,0.0383,1220688.2254,-1.3795,0.0385,0.0397
IOTXINR,IOTX,20260920,2026-09-20 17:21:08+05:30,0.3166,0.355,0.3059,462676.9203,3.3768,0.3185,0.325
KAVAINR,KAVA,20260920,2026-09-20 17:21:08+05:30,7.0287,7.3874,6.8565,68960.2528,0.7858,7.0287,7.2407
KSMINR,KSM,20260920,2026-09-20 17:21:08+05:30,419.2,463.1,419.2,147715.1526,-6.8858,419.3,430.5
LAZIOINR,LAZIO,20260920,2026-09-20 17:21:08+05:30,38.467,38.636,36.593,61700.035,2.1863,36.826,38.352
MELANIAINR,MELANIA,20260920,2026-09-20 17:21:08+05:30,10.0714,10.4501,9.9202,53032.3979,-1.7645,9.9253,10.0714
MNTINR,MNT,20260920,2026-09-20 17:21:08+05:30,59.725,64.194,57.73,181735.225,-2.7312,58.001,59.536
NEARINR,NEAR,20260920,2026-09-20 17:21:08+05:30,358.53,367.41,300.62,8872033.0294,-1.1524,358.88,361.74
PAXGINR,PAXG,20260920,2026-09-20 17:21:08+05:30,436542.0,440913.8,429100.1,193436.0008,1.4207,435000.0,436548.6
PEOPLEINR,PEOPLE,20260920,2026-09-20 17:21:08+05:30,0.8687,0.9361,0.8503,38714.2283,-5.8728,0.85,0.868
PONKEINR,PONKE,20260920,2026-09-20 17:21:08+05:30,2.1383,2.343,2.1375,38659.3002,-2.4587,2.1375,2.2156
POWRINR,POWR,20260920,2026-09-20 17:21:08+05:30,6.1,6.431,6.016,8348.5868,-1.2306,6.0,6.176
PROMINR,PROM,20260920,2026-09-20 17:21:08+05:30,481.69,538.96,481.69,62466.835,-10.626,486.36,497.79
PROVEINR,PROVE,20260920,2026-09-20 17:21:08+05:30,22.248,22.248,20.917,40924.0539,2.3367,21.966,22.248
QTUMINR,QTUM,20260920,2026-09-20 17:21:08+05:30,85.5,85.5,85.5,0.0,0.0,90.38,95.26
SIRENINR,SIREN,20260920,2026-09-20 17:21:08+05:30,4.276,4.4,4.111,367698.9701,-2.2852,4.168,4.287
VETINR,VET,20260920,2026-09-20 17:21:08+05:30,0.814,0.8778,0.8138,943378.0344,-4.741,0.8138,0.8152
VIRTUALINR,VIRTUAL,20260920,2026-09-20 17:21:08+05:30,63.118,68.833,62.707,1132468.9388,-6.5085,63.408,64.331
WCTINR,WCT,20260920,2026-09-20 17:21:08+05:30,4.0506,4.1607,4.0085,6356.711,-0.2586,3.7999,3.9296
XYOINR,XYO,20260920,2026-09-20 17:21:08+05:30,0.3397,0.3646,0.3358,12889.7452,1.1644,0.3404,0.351
ANKRINR,ANKR,20260920,2026-09-20 17:21:08+05:30,0.4545,0.4997,0.4545,4289.5552,-4.3359,0.4566,0.4725
ARINR,AR,20260920,2026-09-20 17:21:08+05:30,433.83,494.67,400.0,5400940.0827,-8.652,423.84,434.83
AUDIOINR,AUDIO,20260920,2026-09-20 17:21:08+05:30,1.3215,1.345,1.2749,27393.2325,3.6552,1.3,1.3215
BIOINR,BIO,20260920,2026-09-20 17:21:08+05:30,2.65,2.8497,2.65,249306.7474,-6.6967,2.6462,2.6777
CELRINR,CELR,20260920,2026-09-20 17:21:08+05:30,0.4066,0.51,0.2301,11544041.2309,75.0646,0.3963,0.4061
FIOINR,FIO,20260920,2026-09-20 17:21:08+05:30,0.0594,0.063,0.0391,1815283.701,46.3054,0.0522,0.0594
FLTINR,FLT,20260920,2026-09-20 17:21:08+05:30,0.5522,0.6,0.5319,155177.8775,2.2648,0.548,0.5727
FORTINR,FORT,20260920,2026-09-20 17:21:08+05:30,1.442,1.493,1.442,19024.4793,-1.838,1.438,1.493
GRTINR,GRT,20260920,2026-09-20 17:21:08+05:30,2.0221,2.0887,1.9971,261023.1725,-1.8398,2.0222,2.0485
ILVINR,ILV,20260920,2026-09-20 17:21:08+05:30,346.0,358.1,334.3,80961.8624,0.2899,334.8,344.4
IOSTINR,IOST,20260920,2026-09-20 17:21:08+05:30,0.0866,0.0954,0.081,665444.4033,0.3246,0.0869,0.0888
LUMIAINR,LUMIA,20260920,2026-09-20 17:21:08+05:30,7.485,8.025,7.485,54637.5926,-2.412,7.317,7.554
LUNAINR,LUNA,20260920,2026-09-20 17:21:08+05:30,4.706,4.861,4.579,252983.9711,-2.5673,4.632,4.706
MOVEINR,MOVE,20260920,2026-09-20 17:21:08+05:30,0.852,0.91,0.852,241288.5298,-3.7288,0.852,0.883
POLINR,POL,20260920,2026-09-20 17:21:08+05:30,10.4163,10.6565,10.2115,1196236.4644,0.0471,10.3325,10.445
POPCATINR,POPCAT,20260920,2026-09-20 17:21:08+05:30,4.713,5.094,4.713,291685.7775,-4.999,4.713,4.7446
RWAINR,RWA,20260920,2026-09-20 17:21:08+05:30,0.1654,0.1785,0.1589,90839.0948,-4.9437,0.1654,0.1717
SCINR,SC,20260920,2026-09-20 17:21:08+05:30,0.0911,0.0952,0.0902,150908.3762,-2.5241,0.0888,0.0912
SYRUPINR,SYRUP,20260920,2026-09-20 17:21:08+05:30,21.935,22.741,21.501,26063.8768,1.6027,21.5,21.736
TELINR,TEL,20260920,2026-09-20 17:21:08+05:30,0.147,0.1576,0.145,238452.551,-3.3208,0.145,0.1475
USDCINR,USDC,20260920,2026-09-20 17:21:08+05:30,99.6707,99.7999,98.7426,2635336.5313,0.4745,99.1601,99.6204
VELOINR,VELO,20260920,2026-09-20 17:21:08+05:30,0.4516,0.4516,0.4259,55441.9518,3.6253,0.4523,0.4674
WEMIXINR,WEMIX,20260920,2026-09-20 17:21:08+05:30,18.376,19.635,18.348,4570.2582,-5.648,18.365,19.427
AEROINR,AERO,20260920,2026-09-20 17:21:08+05:30,63.73,68.0,63.04,831417.9108,-4.838,63.1,64.97
AIINR,AI,20260920,2026-09-20 17:21:08+05:30,1.74,1.838,1.74,26063.676,-4.7097,1.74,1.79
AINR,A,20260920,2026-09-20 17:21:08+05:30,8.753,9.101,8.343,106555.3428,-3.6013,8.404,8.72
BTCINR,BTC,20260920,2026-09-20 17:21:08+05:30,7969203.0,8100891.0,7926393.9,35844514.5069,-1.4515,7934898.2,7969203.0
CATINR,CAT,20260920,2026-09-20 17:21:08+05:30,0.0002,0.0002,0.0002,294284.0095,-4.7442,0.0002,0.0002
CHZINR,CHZ,20260920,2026-09-20 17:21:08+05:30,1.4715,1.5295,1.4582,94496.0941,-2.2259,1.4462,1.4747
CSPRINR,CSPR,20260920,2026-09-20 17:21:08+05:30,0.2748,0.2875,0.2722,35840.0469,1.1002,0.2703,0.2759
DIAINR,DIA,20260920,2026-09-20 17:21:08+05:30,12.983,13.408,12.754,61435.0484,1.7955,12.722,13.22
GLMINR,GLM,20260920,2026-09-20 17:21:08+05:30,11.743,12.253,11.743,11065.1468,-2.6043,11.743,11.827
INITINR,INIT,20260920,2026-09-20 17:21:08+05:30,7.3026,7.5347,7.0601,5589.9602,-1.3126,6.9685,7.1938
JUPINR,JUP,20260920,2026-09-20 17:21:08+05:30,26.7,28.359,26.313,353721.8947,-2.48,26.538,26.7
LAYERINR,LAYER,20260920,2026-09-20 17:21:08+05:30,6.834,7.277,6.822,29096.5722,-6.0877,6.883,7.066
LAINR,LA,20260920,2026-09-20 17:21:08+05:30,6.847,7.378,6.8,20976.3227,-7.1971,6.8,6.862
ONEINR,ONE,20260920,2026-09-20 17:21:08+05:30,0.4122,0.5179,0.2384,38428564.2903,57.9938,0.4097,0.4164
PORTOINR,PORTO,20260920,2026-09-20 17:21:08+05:30,47.24,47.24,47.24,310.0,0.0,43.864,47.24
PRCLINR,PRCL,20260920,2026-09-20 17:21:08+05:30,0.5639,0.6031,0.558,123959.2521,-6.5927,0.5639,0.5767
PYTHINR,PYTH,20260920,2026-09-20 17:21:08+05:30,5.71,6.1061,5.71,214364.7662,-4.1721,5.7101,5.82
QIINR,QI,20260920,2026-09-20 17:21:08+05:30,0.1392,0.1392,0.1247,71098.5162,19.7935,0.1294,0.1358
RVNINR,RVN,20260920,2026-09-20 17:21:08+05:30,0.2226,0.2427,0.19,258355.9014,-3.4692,0.2181,0.2225
VVVINR,VVV,20260920,2026-09-20 17:21:08+05:30,2879.64,2887.07,2500.0,989464.7419,4.1861,2825.52,2879.5
XLMINR,XLM,20260920,2026-09-20 17:21:08+05:30,18.828,20.495,18.651,991241.933,-2.8583,18.775,18.973
APEINR,APE,20260920,2026-09-20 17:21:08+05:30,13.497,14.214,13.437,294728.3902,-5.0443,13.367,13.547
ASRINR,ASR,20260920,2026-09-20 17:21:08+05:30,86.24,86.69,86.24,310.0,-0.3236,81.78,84.94
BBINR,BB,20260920,2026-09-20 17:21:08+05:30,0.8296,0.8834,0.8085,19303.2703,-3.9926,0.8008,0.829
BERAINR,BERA,20260920,2026-09-20 17:21:08+05:30,20.06,22.5,20.06,79033.5382,0.3,20.11,20.7
BNBINR,BNB,20260920,2026-09-20 17:21:08+05:30,74190.2,76842.6,72000.0,4061868.9935,-2.2882,74194.0,74681.9
CFXINR,CFX,20260920,2026-09-20 17:21:08+05:30,5.0139,5.1059,4.863,195931.7853,1.5679,4.8067,4.9578
CTSIINR,CTSI,20260920,2026-09-20 17:21:08+05:30,3.0053,3.49,2.5717,981151.3296,13.1556,2.8693,2.9676
DRIFTINR,DRIFT,20260920,2026-09-20 17:21:08+05:30,1.5616,1.6669,1.4081,287711.6444,1.9721,1.5047,1.5536
ELIZAOSINR,ELIZAOS,20260920,2026-09-20 17:21:08+05:30,0.0164,0.0169,0.0158,107361.9764,-1.5644,0.0158,0.0164
GOATINR,GOAT,20260920,2026-09-20 17:21:08+05:30,1.612,1.75,1.612,26019.0703,-3.6461,1.606,1.647
IOINR,IO,20260920,2026-09-20 17:21:08+05:30,13.443,14.465,13.415,178469.7449,-4.0334,13.443,13.784
KNCINR,KNC,20260920,2026-09-20 17:21:08+05:30,13.988,15.01,13.988,33840.21,-4.9276,13.96,14.275
NFTINR,NFT,20260920,2026-09-20 17:21:08+05:30,0.0,0.0,0.0,27935.0949,1.0798,0.0,0.0
NKNINR,NKN,20260920,2026-09-20 17:21:08+05:30,0.62,0.6329,0.6044,46052.4423,0.813,0.6149,0.62
PARTIINR,PARTI,20260920,2026-09-20 17:21:08+05:30,2.347,2.51,2.347,66032.0641,-3.9689,2.316,2.402
RIFINR,RIF,20260920,2026-09-20 17:21:08+05:30,8.409,8.591,8.363,23094.1987,-0.3082,8.472,8.625
SEIINR,SEI,20260920,2026-09-20 17:21:08+05:30,4.6522,5.0015,4.6504,434051.4291,-5.8259,4.6649,4.7341
SKLINR,SKL,20260920,2026-09-20 17:21:08+05:30,0.44,0.844,0.3515,1448994.8619,12.8205,0.4311,0.4437
SKYINR,SKY,20260920,2026-09-20 17:21:08+05:30,6.9402,7.0152,6.6433,206318.291,0.1833,6.7006,6.9309
VENOMINR,VENOM,20260920,2026-09-20 17:21:08+05:30,1.9036,2.656,0.8147,11016841.1484,125.3537,1.89,1.9036
XAUTINR,XAUT,20260920,2026-09-20 17:21:08+05:30,438784.3,439859.4,431500.1,230767.802,1.9243,434000.0,438782.2
XVSINR,XVS,20260920,2026-09-20 17:21:08+05:30,312.9,316.0,312.9,1413.1489,-0.981,301.6,313.4
BCUTINR,BCUT,20260920,2026-09-20 17:21:08+05:30,0.0487,0.0528,0.0461,98044.1832,-0.409,0.0476,0.0486
COTIINR,COTI,20260920,2026-09-20 17:21:08+05:30,1.7857,2.1169,1.7601,1086037.987,-13.6592,1.7628,1.7825
ENAINR,ENA,20260920,2026-09-20 17:21:08+05:30,20.502,21.995,18.837,4846750.3383,9.5368,20.5,20.761
FARTCOININR,FARTCOIN,20260920,2026-09-20 17:21:08+05:30,16.03,17.06,15.696,2016572.0686,-0.4348,16.04,16.186
FETINR,FET,20260920,2026-09-20 17:21:08+05:30,16.511,18.524,16.5,29813.9725,-10.1784,16.571,16.95
GHSTINR,GHST,20260920,2026-09-20 17:21:08+05:30,6.416,7.149,6.279,31620.5016,-5.8962,6.279,6.418
GRAMINR,GRAM,20260920,2026-09-20 17:21:08+05:30,137.18,140.69,135.03,351740.6426,-1.5996,135.5,137.02
HNTINR,HNT,20260920,2026-09-20 17:21:08+05:30,46.19,47.21,45.02,285762.1253,0.413,45.32,46.14
KERNELINR,KERNEL,20260920,2026-09-20 17:21:08+05:30,3.991,4.339,3.991,2984.608,-7.573,4.0,4.153
NOTINR,NOT,20260920,2026-09-20 17:21:08+05:30,0.046,0.0486,0.0452,104360.1838,-1.7304,0.0448,0.0463
PNUTINR,PNUT,20260920,2026-09-20 17:21:08+05:30,5.069,5.436,4.859,124691.9752,-1.6301,5.065,5.215
POLYXINR,POLYX,20260920,2026-09-20 17:21:08+05:30,4.039,4.177,3.963,3891.1258,2.7213,3.875,4.039
SIGNINR,SIGN,20260920,2026-09-20 17:21:08+05:30,1.1345,1.1999,1.1292,83016.9811,0.4694,1.1467,1.1781
SNXINR,SNX,20260920,2026-09-20 17:21:08+05:30,22.0,22.888,21.904,352928.678,-0.5785,21.331,22.0
SUIINR,SUI,20260920,2026-09-20 17:21:08+05:30,81.015,88.0,80.48,8248329.9272,-5.7965,81.054,81.458
TOWNSINR,TOWNS,20260920,2026-09-20 17:21:08+05:30,0.1999,0.205,0.1962,1085.2048,-2.2016,0.1962,0.2
AIOZINR,AIOZ,20260920,2026-09-20 17:21:08+05:30,8.4466,9.5922,8.3031,231560.1499,-2.158,8.4142,8.7172
ATOMINR,ATOM,20260920,2026-09-20 17:21:08+05:30,166.0,179.9,166.0,391405.1748,-4.5703,166.12,169.13
BLUEINR,BLUE,20260920,2026-09-20 17:21:08+05:30,0.9964,1.0213,0.9619,44598.6816,1.8293,0.9626,1.0021
BOMEINR,BOME,20260920,2026-09-20 17:21:08+05:30,0.0905,0.1053,0.0895,164452.4002,-6.0537,0.0895,0.0907
COWINR,COW,20260920,2026-09-20 17:21:08+05:30,15.287,15.98,15.038,224225.0111,0.6916,14.841,15.287
EGLDINR,EGLD,20260920,2026-09-20 17:21:08+05:30,360.0,418.67,355.0,211375.616,-13.4199,360.0,365.94
GRIFFAININR,GRIFFAIN,20260920,2026-09-20 17:21:08+05:30,1.3467,1.4531,1.2932,148212.2125,-6.4792,1.3421,1.3819
IMXINR,IMX,20260920,2026-09-20 17:21:08+05:30,13.587,14.419,13.315,103523.8749,-1.3075,13.197,13.6
LDOINR,LDO,20260920,2026-09-20 17:21:08+05:30,39.01,41.975,39.01,354761.0896,-1.9282,39.01,40.289
LFINR,LF,20260920,2026-09-20 17:21:08+05:30,0.0029,0.003,0.0028,104101.5658,-1.019,0.0028,0.0029
MANTAINR,MANTA,20260920,2026-09-20 17:21:08+05:30,6.374,6.7433,6.2634,210964.117,-0.7165,6.3702,6.5607
MAPOINR,MAPO,20260920,2026-09-20 17:21:08+05:30,0.124,0.1287,0.1217,52189.7684,1.8312,0.125,0.1284
MDTINR,MDT,20260920,2026-09-20 17:21:08+05:30,0.8318,0.8599,0.7882,111322.6616,-1.9451,0.7915,0.83
MERLINR,MERL,20260920,2026-09-20 17:21:08+05:30,2.593,2.593,2.381,89148.7414,3.72,2.499,2.583
MINAINR,MINA,20260920,2026-09-20 17:21:08+05:30,10.201,11.509,10.2,215064.7983,-11.8399,10.21,10.551
PEIPEIINR,PEIPEI,20260920,2026-09-20 17:21:08+05:30,0.0,0.0,0.0,251983.6249,0.2905,0.0,0.0
PSGINR,PSG,20260920,2026-09-20 17:21:08+05:30,44.99,47.43,44.99,4602.458,-0.266,45.03,47.17
PUMPINR,PUMP,20260920,2026-09-20 17:21:08+05:30,0.4049,0.4235,0.3886,1314579.7454,-2.4336,0.4008,0.4051
RENDERINR,RENDER,20260920,2026-09-20 17:21:08+05:30,150.65,161.43,148.48,1138493.8258,-4.6821,149.87,152.28
ROSEINR,ROSE,20260920,2026-09-20 17:21:08+05:30,0.716,0.7913,0.7151,68228.8223,-3.2302,0.7123,0.7336
SOLINR,SOL,20260920,2026-09-20 17:21:08+05:30,10775.5,11156.5,10642.6,24693933.7381,-3.3241,10710.5,10774.4
STXINR,STX,20260920,2026-09-20 17:21:08+05:30,30.923,33.283,29.834,389436.5405,-0.6043,30.761,31.5
THETAINR,THETA,20260920,2026-09-20 17:21:08+05:30,21.23,22.723,21.0,138970.7774,-4.3521,21.0,21.26
XCNINR,XCN,20260920,2026-09-20 17:21:08+05:30,0.3977,0.3977,0.3977,0.0,0.0,0.3925,0.414
ZECINR,ZEC,20260920,2026-09-20 17:21:08+05:30,143490.3,155540.0,142000.0,32727407.6023,-7.3705,142620.1,143489.9
ZEREBROINR,ZEREBRO,20260920,2026-09-20 17:21:08+05:30,3.0205,3.2353,3.018,162983.0121,-4.4146,3.0586,3.1084
ZIGINR,ZIG,20260920,2026-09-20 17:21:08+05:30,4.9814,5.5624,4.0,280455.2968,-8.9665,4.9946,5.2163
ACEINR,ACE,20260920,2026-09-20 17:21:08+05:30,15.72,15.74,15.4,8572.988,1.8795,15.92,16.1
ANIMEINR,ANIME,20260920,2026-09-20 17:21:08+05:30,0.302,0.3275,0.3017,152167.0025,-3.3291,0.3017,0.3113
ARBINR,ARB,20260920,2026-09-20 17:21:08+05:30,21.25,21.748,19.896,2688798.4786,1.3159,21.187,21.415
AZEROINR,AZERO,20260920,2026-09-20 17:21:08+05:30,0.718,0.731,0.7,72289.2908,0.5602,0.711,0.719
DEGENINR,DEGEN,20260920,2026-09-20 17:21:08+05:30,0.1066,0.1124,0.1031,13024.7489,-4.4281,0.105,0.1058
DYDXINR,DYDX,20260920,2026-09-20 17:21:08+05:30,12.7276,13.8343,12.4989,183466.7294,-1.4731,12.3187,12.7644
GEODINR,GEOD,20260920,2026-09-20 17:21:08+05:30,23.8903,26.5008,23.8746,170481.4892,-8.1612,23.7244,24.9215
RESOLVINR,RESOLV,20260920,2026-09-20 17:21:08+05:30,1.671,1.754,1.671,30578.236,-2.7357,1.686,1.706
RSRINR,RSR,20260920,2026-09-20 17:21:08+05:30,0.1585,0.164,0.1511,268633.6723,2.4367,0.1541,0.1589
SWAPINR,SWAP,20260920,2026-09-20 17:21:08+05:30,4.45,4.454,4.127,48688.4455,7.8265,4.131,4.449
SINR,S,20260920,2026-09-20 17:21:08+05:30,3.4704,3.55,3.1075,522847.8509,5.4897,3.4701,3.5825
THEINR,THE,20260920,2026-09-20 17:21:08+05:30,7.276,7.837,7.254,368396.8444,0.3033,7.268,7.54
TOSHIINR,TOSHI,20260920,2026-09-20 17:21:08+05:30,0.0112,0.0118,0.0112,224525.3277,-4.975,0.0112,0.0113
TRXINR,TRX,20260920,2026-09-20 17:21:08+05:30,34.139,34.175,33.271,1455668.9984,1.3057,33.842,34.139
VANAINR,VANA,20260920,2026-09-20 17:21:08+05:30,105.41,120.0,102.38,86577.0705,2.9596,101.94,105.64
VTHOINR,VTHO,20260920,2026-09-20 17:21:08+05:30,0.0665,0.0756,0.0661,179575.4022,-5.0571,0.0666,0.0686
WAXPINR,WAXP,20260920,2026-09-20 17:21:08+05:30,0.5216,0.5391,0.514,93498.7011,-2.1755,0.5146,0.5216
XDCINR,XDC,20260920,2026-09-20 17:21:08+05:30,2.7182,2.8779,2.7182,61629.9997,-2.5721,2.7182,2.7182
ACAINR,ACA,20260920,2026-09-20 17:21:08+05:30,0.0384,0.0399,0.0381,262316.7595,-1.2853,0.0384,0.0396
AIXBTINR,AIXBT,20260920,2026-09-20 17:21:08+05:30,2.021,2.132,2.0036,80676.192,-5.1174,2.0064,2.0394
ALKIMIINR,ALKIMI,20260920,2026-09-20 17:21:08+05:30,0.0534,0.054,0.05,132419.5323,6.8,0.0527,0.0534
ALTINR,ALT,20260920,2026-09-20 17:21:08+05:30,0.7008,0.7351,0.6808,13135.2571,-0.3129,0.6808,0.7016
BOBAINR,BOBA,20260920,2026-09-20 17:21:08+05:30,1.8584,1.9517,1.8584,6492.9654,-0.2951,1.8611,1.9498
CAKEINR,CAKE,20260920,2026-09-20 17:21:08+05:30,241.67,248.22,227.09,174257.7967,1.1172,243.45,246.5
CELOINR,CELO,20260920,2026-09-20 17:21:08+05:30,8.7767,9.54,8.3828,82849.9893,1.2015,8.4711,8.7315
CINR,C,20260920,2026-09-20 17:21:08+05:30,7.248,9.578,6.543,1096644.5375,9.4864,7.248,7.494
GASINR,GAS,20260920,2026-09-20 17:21:08+05:30,133.767,144.899,130.151,75218.5616,1.2619,130.0,132.821
KAITOINR,KAITO,20260920,2026-09-20 17:21:08+05:30,32.917,34.697,32.0,161807.4734,-2.6124,31.876,32.917
MONINR,MON,20260920,2026-09-20 17:21:08+05:30,2.3695,2.5646,2.3261,109681.5834,-5.4205,2.3261,2.3695
SPKINR,SPK,20260920,2026-09-20 17:21:08+05:30,1.9439,2.14,1.9439,64585.8278,-7.2037,1.9507,2.0367
TLMINR,TLM,20260920,2026-09-20 17:21:08+05:30,0.1439,0.1482,0.1417,44703.0016,-0.697,0.141,0.1435
TLOSINR,TLOS,20260920,2026-09-20 17:21:08+05:30,1.6272,1.6347,1.5784,16971.3229,3.0917,1.5854,1.6225
TOKENINR,TOKEN,20260920,2026-09-20 17:21:08+05:30,0.2026,0.2089,0.1969,23108.2048,-1.3151,0.1975,0.2006
TRUMPINR,TRUMP,20260920,2026-09-20 17:21:08+05:30,198.84,218.59,198.29,1377155.8311,-3.1513,199.36,201.16
TURBOINR,TURBO,20260920,2026-09-20 17:21:08+05:30,0.0923,0.1021,0.0907,117354.3096,-4.1952,0.0929,0.0945
XRPINR,XRP,20260920,2026-09-20 17:21:08+05:30,137.311,144.732,135.549,15309747.0874,-3.7029,136.428,137.307
SOLUSDT,SOL,20260920,2026-09-20 17:21:08+05:30,108.55,112.46,107.4,232689416.3619,-3.089,108.55,108.56
ADAINR,ADA,20260920,2026-09-20 17:21:08+05:30,21.854,23.0,21.618,6376835.991,-3.5399,21.756,21.854
APTINR,APT,20260920,2026-09-20 17:21:08+05:30,71.86,74.44,69.65,1107909.7001,-1.7501,71.86,72.65
COMPINR,COMP,20260920,2026-09-20 17:21:08+05:30,2101.8,2172.6,2054.1,179073.0536,-1.7667,2047.1,2094.1
DOGEINR,DOGE,20260920,2026-09-20 17:21:08+05:30,8.4776,9.0,8.3942,5980753.5014,-3.6625,8.4212,8.4776
ETHFIINR,ETHFI,20260920,2026-09-20 17:21:08+05:30,69.88,75.58,69.01,226717.5232,-6.3271,69.07,70.14
JASMYINR,JASMY,20260920,2026-09-20 17:21:08+05:30,0.4,0.4255,0.3933,108723.9652,-2.1526,0.3931,0.4004
KASINR,KAS,20260920,2026-09-20 17:21:08+05:30,3.8395,4.0,3.7078,2236155.7964,-0.0026,3.795,3.8431
MOVRINR,MOVR,20260920,2026-09-20 17:21:08+05:30,81.62,86.2,79.48,207987.5853,-2.8333,79.43,81.78
NOMINR,NOM,20260920,2026-09-20 17:21:08+05:30,0.16,0.1733,0.1594,53848.5387,-7.2464,0.1592,0.1668
RENINR,REN,20260920,2026-09-20 17:21:08+05:30,0.312,0.3543,0.312,7161.2005,-4.7561,0.312,0.3302
SAHARAINR,SAHARA,20260920,2026-09-20 17:21:08+05:30,0.8741,0.917,0.8575,56451.2949,-3.7653,0.8606,0.8771
STEEMINR,STEEM,20260920,2026-09-20 17:21:08+05:30,5.457,5.89,5.431,7989.6444,-3.4159,5.467,5.574
TSTINR,TST,20260920,2026-09-20 17:21:08+05:30,1.5043,1.5854,1.5,51822.0518,-3.6878,1.5,1.5133
