incident_id,anomaly_id,transaction_id,user_id,created_at,severity,likelihood,exposure_inr,priority_score,priority_band,rationale,recommendation,status
INC_C0E6187F5D,ANO_942201A08C,TX_7F630EC3A0A2,USR_07107,2026-08-03 18:09:50+05:30,4,4,802544.86,217.53,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹802,544.86) exceeding risk threshold.",Initiate outbound phone verification; inspect recent device IP and 2FA changes; check order book liquidity depth.,OPEN
INC_F425BFA4B4,ANO_7765410CE6,TX_ANO_SPK_1D27480B,USR_05174,2026-09-06 08:06:03+05:30,4,5,52133.82,217.23,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹52,133.82) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_6F0D3AA1E9,ANO_99047AF7B4,TX_ANO_FEE_5BF484BD,USR_02309,2026-08-01 06:59:41+05:30,4,5,50196.32,216.47,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹50,196.32) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_18661B2B66,ANO_96584D59ED,TX_ANO_SPK_6FA31320,USR_01145,2026-08-10 17:06:50+05:30,4,5,40814.9,212.34,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹40,814.90) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_7E45B697B5,ANO_A471C02356,TX_ANO_SPK_B5FE9DD8,USR_08805,2026-08-04 11:54:32+05:30,4,5,37391.46,210.58,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹37,391.46) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_8ACF6A1A03,ANO_1333C091C9,TX_ANO_SPK_F1C20A4B,USR_03257,2026-09-04 01:58:54+05:30,4,5,31955.11,207.44,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹31,955.11) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_65653FCF5C,ANO_222D08516C,TX_291E99B3E6E7,USR_07855,2026-09-10 03:24:33+05:30,4,4,91984.89,182.87,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹91,984.89) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_92BEC54C53,ANO_EEA5EF1D96,TX_DDB860E794AF,USR_04487,2026-09-11 12:22:49+05:30,4,4,91450.43,182.78,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹91,450.43) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_8A578AFA1C,ANO_500C5C5A51,TX_24F7EA8FBB9B,USR_02804,2026-09-10 07:12:02+05:30,4,4,90038.02,182.53,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹90,038.02) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_2A685045E4,ANO_DF59837288,TX_ANO_VEL_A6E1F6BF,USR_02886,2026-08-02 04:56:50+05:30,4,5,8950.0,181.99,P1,"P1 CRITICAL: High-severity VELOCITY_BURST with substantial financial exposure (₹8,950.00) exceeding risk threshold.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_CAA9C9C79F,ANO_984417729B,TX_ANO_VEL_72898703,USR_06576,2026-08-07 10:24:54+05:30,4,5,8950.0,181.99,P1,"P1 CRITICAL: High-severity VELOCITY_BURST with substantial financial exposure (₹8,950.00) exceeding risk threshold.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_3E5269D548,ANO_C940C3868F,TX_ANO_VEL_46BCC4B7,USR_08782,2026-08-14 01:06:37+05:30,4,5,8950.0,181.99,P1,"P1 CRITICAL: High-severity VELOCITY_BURST with substantial financial exposure (₹8,950.00) exceeding risk threshold.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_3727934784,ANO_5694A1E3FB,TX_ANO_VEL_A18D24E7,USR_01750,2026-08-19 15:04:16+05:30,4,5,8950.0,181.99,P1,"P1 CRITICAL: High-severity VELOCITY_BURST with substantial financial exposure (₹8,950.00) exceeding risk threshold.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_2DDA7DE747,ANO_3B5B5018B3,TX_ANO_VEL_981476FD,USR_09123,2026-08-25 23:30:34+05:30,4,5,8950.0,181.99,P1,"P1 CRITICAL: High-severity VELOCITY_BURST with substantial financial exposure (₹8,950.00) exceeding risk threshold.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_11D2E97ABF,ANO_1055CB1206,TX_ANO_VEL_A4A1C0A6,USR_09461,2026-09-04 20:11:37+05:30,4,5,8950.0,181.99,P1,"P1 CRITICAL: High-severity VELOCITY_BURST with substantial financial exposure (₹8,950.00) exceeding risk threshold.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_6512203838,ANO_AF09B2365A,TX_B88C1912D92C,USR_01336,2026-08-17 21:38:51+05:30,4,4,83313.75,181.29,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹83,313.75) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_1CB7DC7363,ANO_A83370BC27,TX_E6ECC3161397,USR_02072,2026-09-04 15:49:04+05:30,4,4,82106.6,181.05,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹82,106.60) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_90D52DF263,ANO_BBFDFDD338,TX_48600768DB55,USR_07892,2026-08-04 16:44:45+05:30,4,4,80921.37,180.82,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹80,921.37) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_3F727A13B8,ANO_699B26824D,TX_7B55733D76A5,USR_09581,2026-08-04 00:12:42+05:30,4,4,78174.75,180.27,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹78,174.75) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_3D76779FE0,ANO_65302825CA,TX_26662C0F0DE0,USR_08271,2026-08-07 17:37:03+05:30,4,4,70902.09,178.71,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹70,902.09) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_8168DD8F12,ANO_130E1A13EF,TX_63A226F6A26E,USR_05761,2026-08-08 08:14:07+05:30,4,4,54990.53,174.64,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹54,990.53) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_E5C3231E41,ANO_134B3A3058,TX_DA98CB4070BA,USR_07231,2026-09-18 02:59:13+05:30,4,4,15005.06,153.86,P1,"P1 CRITICAL: High-severity BASELINE_SPIKE with substantial financial exposure (₹15,005.06) exceeding risk threshold.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_E7FBB1A89D,ANO_A59721AE55,TX_C4F8F2F10CD1,USR_09775,2026-09-19 06:48:10+05:30,4,4,10703.83,148.46,P2,"P2 HIGH: Elevated risk anomaly with notable score 148.5 and exposure ₹10,703.83.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_5F6D79A5C4,ANO_BB41699A36,TX_87E96B30AB08,USR_01426,2026-08-16 04:14:39+05:30,4,4,10391.47,147.98,P2,"P2 HIGH: Elevated risk anomaly with notable score 148.0 and exposure ₹10,391.47.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_DA44CF5786,ANO_0967E2A5E5,TX_7CA75D4770A4,USR_03098,2026-08-17 12:33:37+05:30,4,4,10372.77,147.95,P2,"P2 HIGH: Elevated risk anomaly with notable score 147.9 and exposure ₹10,372.77.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_B1E43F504F,ANO_F8E376CD76,TX_ANO_FAL_71455A2A,USR_02401,2026-08-07 14:58:44+05:30,4,4,10000.0,147.37,P2,"P2 HIGH: Elevated risk anomaly with notable score 147.4 and exposure ₹10,000.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_51155A9293,ANO_2A6246D2E3,TX_ANO_FAL_EAEA147C,USR_06257,2026-08-24 01:23:07+05:30,4,4,10000.0,147.37,P2,"P2 HIGH: Elevated risk anomaly with notable score 147.4 and exposure ₹10,000.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_2720EB6068,ANO_E4A2B66EF8,TX_ANO_FAL_CA73DBE8,USR_05260,2026-09-12 07:04:19+05:30,4,4,10000.0,147.37,P2,"P2 HIGH: Elevated risk anomaly with notable score 147.4 and exposure ₹10,000.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_A4DDDD00F2,ANO_3FA9EBF2C8,TX_67EEC56D1830,USR_05320,2026-08-22 22:26:39+05:30,4,4,9640.49,146.78,P2,"P2 HIGH: Elevated risk anomaly with notable score 146.8 and exposure ₹9,640.49.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_F6CEDCD67E,ANO_41C9C9FAA2,TX_ANO_VEL_9699B358,USR_01869,2026-08-01 22:01:13+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_D3489BDDAA,ANO_E19E740F29,TX_ANO_VEL_36DCC3D0,USR_01869,2026-08-01 22:07:13+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_AA0AD06E92,ANO_8393E096FB,TX_ANO_VEL_ACDD9000,USR_02599,2026-08-04 02:00:46+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_87D90B7604,ANO_A3665565C5,TX_ANO_VEL_624B9B21,USR_00651,2026-08-06 02:26:08+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_D1C6D3FD56,ANO_EA0B1F2689,TX_ANO_VEL_59FC4B63,USR_00413,2026-08-10 11:36:52+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_351D1F204D,ANO_E1CF188640,TX_ANO_VEL_46ED720F,USR_00413,2026-08-10 11:40:52+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_7AF0EFE447,ANO_169DE3DAE3,TX_ANO_VEL_E9C65FB5,USR_07500,2026-08-11 03:45:57+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_BAA09CB1F0,ANO_AC570C3F6C,TX_ANO_VEL_0A6A30CA,USR_09712,2026-08-12 02:13:20+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_9C5144176D,ANO_DFBE55F98C,TX_ANO_VEL_1766B0E4,USR_00475,2026-08-13 04:05:19+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_73F4D526C8,ANO_82C65F289E,TX_ANO_VEL_9ABEF72B,USR_09923,2026-08-13 19:44:38+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_FFCDDF2ABA,ANO_E7F07AEB84,TX_ANO_VEL_7225E3A0,USR_08549,2026-08-15 02:29:19+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_D84DF91373,ANO_2DFDADF992,TX_ANO_VEL_E4C2E527,USR_03961,2026-08-19 22:02:42+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_EC590AA68A,ANO_DFE1E5A82B,TX_ANO_VEL_37F4C777,USR_05666,2026-08-21 10:32:14+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_B9402BDAC4,ANO_44BCF807F2,TX_ANO_VEL_00888A3B,USR_05666,2026-08-21 10:34:14+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_263DD1A2EA,ANO_356D6C7EA2,TX_ANO_VEL_5860285D,USR_03031,2026-08-23 04:35:43+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_E4E66B7E13,ANO_E552B76105,TX_ANO_VEL_7F1943E6,USR_03031,2026-08-23 04:37:43+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_48564E0D7C,ANO_094BE1F715,TX_ANO_VEL_328DA022,USR_07910,2026-08-23 16:21:49+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_8FBBD7ED4C,ANO_B48FD9FC16,TX_ANO_VEL_E37983A0,USR_09123,2026-08-25 23:24:34+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_8E650C48BE,ANO_B37405635C,TX_ANO_VEL_4F6D3D83,USR_04482,2026-08-30 09:50:06+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_CAC3B4297F,ANO_48AB8D24D4,TX_ANO_VEL_B820A944,USR_03216,2026-08-31 03:46:30+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_FCA819EB6A,ANO_D5380F2F8B,TX_ANO_VEL_3DBD78C9,USR_01045,2026-09-01 15:42:39+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_742F533CBB,ANO_2C90A08451,TX_ANO_VEL_321992B2,USR_06047,2026-09-04 05:38:40+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_B959DDAF54,ANO_3C502445C7,TX_ANO_VEL_95BD8F47,USR_01082,2026-09-04 19:41:00+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_0A02B8FB0E,ANO_F350465713,TX_ANO_VEL_7F277ED0,USR_09461,2026-09-04 20:01:37+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_FB0165632E,ANO_6CEA2A186F,TX_ANO_VEL_59790BFB,USR_03972,2026-09-04 20:11:46+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_C32F159C93,ANO_F43F7C5330,TX_ANO_VEL_8283AD99,USR_04077,2026-09-06 18:34:32+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_0E1829C2B8,ANO_41BD391CC8,TX_ANO_VEL_B0F436E5,USR_06998,2026-09-06 22:41:24+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_369906B353,ANO_F2FFA8222A,TX_ANO_VEL_90EB1E75,USR_04284,2026-09-07 04:24:15+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_5750DB683B,ANO_427121FC6C,TX_ANO_VEL_E024F93A,USR_06826,2026-09-10 10:29:40+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_0E4144C976,ANO_E4F3FE6405,TX_ANO_VEL_2682A1EA,USR_01320,2026-09-16 04:51:02+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_E3C7A69315,ANO_7A619F032C,TX_ANO_VEL_8E5BE0D3,USR_04650,2026-09-16 11:35:00+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_EAD6138161,ANO_98BF95A7FE,TX_ANO_VEL_60868E28,USR_08578,2026-09-20 04:56:23+05:30,4,4,8950.0,145.59,P2,"P2 HIGH: Elevated risk anomaly with notable score 145.6 and exposure ₹8,950.00.",Enforce temporary rate-limiting on user API key/session; inspect user agent and IP subnet.,OPEN
INC_25EA2EBF4A,ANO_315439FB0D,TX_6EC4976D0E2C,USR_07287,2026-08-23 19:54:33+05:30,4,4,8496.69,144.76,P2,"P2 HIGH: Elevated risk anomaly with notable score 144.8 and exposure ₹8,496.69.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_DDC76988D1,ANO_AFB8272841,TX_5648E0841727,USR_09815,2026-08-05 11:31:59+05:30,4,4,8151.39,144.1,P2,"P2 HIGH: Elevated risk anomaly with notable score 144.1 and exposure ₹8,151.39.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_B867D333DC,ANO_8C05538A57,TX_4C3B8643F88D,USR_08025,2026-08-25 01:57:33+05:30,4,4,7957.18,143.71,P2,"P2 HIGH: Elevated risk anomaly with notable score 143.7 and exposure ₹7,957.18.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_994180C0A6,ANO_2D1B4321B6,TX_22E821DE42EF,USR_06449,2026-08-18 21:16:42+05:30,4,4,7759.46,143.31,P2,"P2 HIGH: Elevated risk anomaly with notable score 143.3 and exposure ₹7,759.46.",Verify user trading history; request KYC Tier-2 verification if unverified.,OPEN
INC_EE091C0624,ANO_29F27CFAF5,TX_ANO_FAL_59324A3A,USR_02373,2026-08-03 06:22:33+05:30,3,4,10000.0,110.53,P2,"P2 HIGH: Elevated risk anomaly with notable score 110.5 and exposure ₹10,000.00.",Inspect payment gateway integration status; notify customer support; check for credential brute forcing.,OPEN
INC_BCD862814E,ANO_E12920C9A7,TX_ANO_FAL_84132A57,USR_02401,2026-08-07 15:01:44+05:30,3,4,10000.0,110.53,P2,"P2 HIGH: Elevated risk anomaly with notable score 110.5 and exposure ₹10,000.00.",Inspect payment gateway integration status; notify customer support; check for credential brute forcing.,OPEN
INC_73B033F64A,ANO_B91540BF38,TX_ANO_FAL_86BB17DF,USR_05879,2026-08-13 08:06:40+05:30,3,4,10000.0,110.53,P2,"P2 HIGH: Elevated risk anomaly with notable score 110.5 and exposure ₹10,000.00.",Inspect payment gateway integration status; notify customer support; check for credential brute forcing.,OPEN
INC_ABACA8B5B4,ANO_253CD51D1D,TX_ANO_FAL_2079C7DA,USR_00464,2026-08-19 23:06:11+05:30,3,4,10000.0,110.53,P2,"P2 HIGH: Elevated risk anomaly with notable score 110.5 and exposure ₹10,000.00.",Inspect payment gateway integration status; notify customer support; check for credential brute forcing.,OPEN
INC_0FF73F6CFD,ANO_6F5B27E6ED,TX_ANO_FAL_345AAF75,USR_08744,2026-08-21 22:08:55+05:30,3,4,10000.0,110.53,P2,"P2 HIGH: Elevated risk anomaly with notable score 110.5 and exposure ₹10,000.00.",Inspect payment gateway integration status; notify customer support; check for credential brute forcing.,OPEN
INC_9C5FBD1FA5,ANO_4F4E489AA6,TX_ANO_FAL_88EF83ED,USR_06257,2026-08-24 01:14:07+05:30,3,4,10000.0,110.53,P2,"P2 HIGH: Elevated risk anomaly with notable score 110.5 and exposure ₹10,000.00.",Inspect payment gateway integration status; notify customer support; check for credential brute forcing.,OPEN
